"date","location","deaths","injuries","description","date_string","day_of_week","month","year","state"
"1868-12-22","Chattanooga, Tennessee","3","0","A boy who refused to be whipped by his teacher left the school. The next day he returned with his brother and a friend for revenge. Not finding the teacher at the school, they continued to his house, where a gun battle took place and three died. Only the original boy who initiated the attack survived.<sup id='cite_ref-13' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-13'>[13]</a></sup>","December 22, 1868","Tuesday","December","1868","Tennessee"
"1871-01-27","Knoxville, Tennessee","1","0","John Roberts, aged ten or twelve, accidentally had one of his eyes shot out at school and died.<sup id='cite_ref-14' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-14'>[14]</a></sup>","January 27, 1871","Friday","January","1871","Tennessee"
"1872-02-01","Washington, Pennsylvania","0","1","At the all-girls Union School, 17-year-old Thomas McGiffin shot and seriously wounded the principal, Prof. Wilson, in the hip because the professor refused to deliver a note to one of the young ladies for him. McGiffin was a son of Col. Norton McGiffin, and brother of US naval hero <a href='https://en.wikipedia.org/wiki/Philo_McGiffin' title='Philo McGiffin'>Philo McGiffin</a>.<sup id='cite_ref-15' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-15'>[15]</a></sup>","February 1, 1872","Thursday","February","1872","Pennsylvania"
"1873-02-11","Wisconsin","0","1","Chris Foote<sup class='noprint Inline-Template' style='white-space:nowrap;'>[<i><a href='https://en.wikipedia.org/wiki/Wikipedia:Verifiability' title='Wikipedia:Verifiability'><span title='The material near this tag failed verification of its source citation(s). (February 2018)'>not in citation given</span></a></i>]</sup> shot the school mistress for whipping his son.<sup id='cite_ref-16' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-16'>[16]</a></sup><sup class='noprint Inline-Template noprint noexcerpt Template-Fact' style='white-space:nowrap;'>[<i><a href='https://en.wikipedia.org/wiki/Wikipedia:NOTRS' class='mw-redirect' title='Wikipedia:NOTRS'><span title='This claim needs references to better sources. (February 2018)'>better&#160;source&#160;needed</span></a></i>]</sup>","February 11, 1873","Tuesday","February","1873","Wisconsin"
"1874-02-20","Agency, Montana","1","0","After being ejected from school for disobedience, 20-year-old Thomas Squires, fatally shot Prof. Hayes in the abdomen three times without warning.<sup id='cite_ref-17' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-17'>[17]</a></sup>","February 20, 1874","Friday","February","1874","Montana"
"1874-04-09","Lebanon, Tennessee","1","0","John R. Breckinridge, son of the late <a href='https://en.wikipedia.org/wiki/Robert_Jefferson_Breckinridge' title='Robert Jefferson Breckinridge'>Robert Jefferson Breckinridge</a>, attending classes in law at <a href='https://en.wikipedia.org/wiki/Cumberland_University' title='Cumberland University'>Cumberland University</a> in <a href='https://en.wikipedia.org/wiki/Lebanon,_Tennessee' title='Lebanon, Tennessee'>Lebanon</a> <a href='https://en.wikipedia.org/wiki/Tennessee' title='Tennessee'>Tennessee</a>, was killed by John L. Anderson, the Mayor's son. The latter was reportedly 'crazed with liquor.'<sup id='cite_ref-18' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-18'>[18]</a></sup><sup id='cite_ref-19' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-19'>[19]</a></sup>","April 9, 1874","Thursday","April","1874","Tennessee"
"1878-05-24","St. Paul, Minnesota","0","1","A 12-year-old boy, Luckert, accidentally wounded Allie McDonald, another boy at the Neill school. The bullet passed out, and the youth was expected to recover. His mother Mrs. McDonald went to the police station, but did not file a formal complaint.<sup id='cite_ref-20' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-20'>[20]</a></sup>","May 24, 1878","Friday","May","1878","Minnesota"
"1879-05-24","Lancaster, New York","0","1","Telegraph operator Frank Shugart, severely injured Mr. Carr, superintendent of the stables at a girls' school.<sup id='cite_ref-21' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-21'>[21]</a></sup>","May 24, 1879","Saturday","May","1879","New York"
"1881-12-01","Santa Monica, California","1","0","While working late on the program for the children's concert at the schoolhouse, the school master Mr. O'Donnell and one of the parents got into an argument. The parent, Mr. Williams, pulled a gun and fatally shot O'Donnell in the back.<sup id='cite_ref-22' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-22'>[22]</a></sup>","December 1, 1881","Thursday","December","1881","California"
"1881-12-22","Shelby County, Indiana","0","0","School teacher Charles J. Gregory shot at a pupil at close range because he refused to write on a slate. The bullet missed the boy. The teacher was arrested.<sup id='cite_ref-23' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-23'>[23]</a></sup>","December 22, 1881","Thursday","December","1881","Indiana"
"1882-01-16","Iola, Kansas","0","0","A group of boys shot into a schoolhouse, but no one was hurt. Two of the boys were arrested and pleaded guilty three weeks later. They were fined $9.00 each.<sup id='cite_ref-24' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-24'>[24]</a></sup>","January 16, 1882","Monday","January","1882","Kansas"
"1882-04-13","Huntsville, Texas","0","1","G.W. Gray, a student at the <a href='https://en.wikipedia.org/wiki/Sam_Houston' title='Sam Houston'>Sam Houston</a> Normal School, wounded another student, M.J. Jordan. They were arguing over a comic valentine.<sup id='cite_ref-25' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-25'>[25]</a></sup>","April 13, 1882","Thursday","April","1882","Texas"
"1883-02-14","Florence, Nebraska","0","3","As some children were playing and throwing snowballs outside the Ponca Creek schoolhouse, three young men pulled up in a wagon. They engaged the children in a snowball fight. When they were leaving, one of the men, Lem Harbaugh, pointed his .45 caliber <a href='https://en.wikipedia.org/wiki/Needle_gun' title='Needle gun'>needle gun</a> at the children, accidentally shooting and wounding three of them. Feeling great remorse, Harbaugh later surrendered himself to the authorities.<sup id='cite_ref-26' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-26'>[26]</a></sup>","February 14, 1883","Wednesday","February","1883","Nebraska"
"1883-11-20","Barber County, Kansas","0","0","A bunch of drunken cowboys stopped at several schoolhouses, forcing two teachers to drink <a href='https://en.wikipedia.org/wiki/Whiskey' class='mw-redirect' title='Whiskey'>whiskey</a> and firing numerous shots at three schoolhouses.<sup id='cite_ref-27' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-27'>[27]</a></sup>","November 20, 1883","Tuesday","November","1883","Kansas"
"1884-02-28","Danville, Virginia","0","2","As Allen Wamack, a 15-year-old boy, drove by a '<a href='https://en.wikipedia.org/wiki/Negro' title='Negro'>Negro</a>' schoolhouse, he called out 'school butter.' (an insult meaning a cobbing, or a whipping).<sup id='cite_ref-28' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-28'>[28]</a></sup> The school students ran out and attacked him, firing several shots at him, he returned fire hitting two students.<sup id='cite_ref-29' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-29'>[29]</a></sup>","February 28, 1884","Thursday","February","1884","Virginia"
"1884-03-06","Boston, Massachusetts","0","0","As news of outlaw <a href='https://en.wikipedia.org/wiki/Jesse_James' title='Jesse James'>Jesse James</a> reached the East Coast, young boys started to imitate him. For instance, boys armed with guns shot at police investigating their activities at the Concord-street schoolhouse.<sup id='cite_ref-30' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-30'>[30]</a></sup>","March 6, 1884","Thursday","March","1884","Massachusetts"
"1884-03-15","Gainesville, Georgia","0","0","In the middle of the day, a group of very drunk Jackson County farmers were shooting their revolvers as they headed down the street, driving people into their homes. As they approached the female academy, the girls fled from the yard into the school. The gang followed and fired several rounds into the front door, but no one was hurt.<sup id='cite_ref-31' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-31'>[31]</a></sup>","March 15, 1884","Saturday","March","1884","Georgia"
"1887-06-12","Cleveland, Tennessee","1","0","Will Guess went to the school and killed Miss Irene Fann, his little sister's teacher, for whipping her the day before.<sup id='cite_ref-32' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-32'>[32]</a></sup>","June 12, 1887","Sunday","June","1887","Tennessee"
"1889-06-13","New Brunswick, New Jersey","0","0","Charles Crawford, upset over an argument with a school trustee, went up to the window and fired a pistol into a crowded schoolroom. The bullet lodged in the wall just above the teacher's head.<sup id='cite_ref-33' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-33'>[33]</a></sup>","June 13, 1889","Thursday","June","1889","New Jersey"
"1890-04-24","Brazil, Indiana","0","1","While the pupils of the Meridian Street School were at play, Ben Corbery drew a revolver and seriously wounded 10-year-old Cora Brubach, in the face. The girl had told the teacher of Ben's misconduct.<sup id='cite_ref-34' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-34'>[34]</a></sup>","April 24, 1890","Thursday","April","1890","Indiana"
"1890-12-27","Staunton, Virginia","1","0","At the <a href='https://en.wikipedia.org/wiki/Staunton_Military_Academy' title='Staunton Military Academy'>Kable's Military Academy</a> a 15-year-old student, A.H. Hathaway of Dennison, Texas, was accidentally killed by his 17-year-old classmate James Whitworth of <a href='https://en.wikipedia.org/wiki/Sulphur_Springs,_Texas' title='Sulphur Springs, Texas'>Sulphur Springs, Texas</a>, while they were playing with an old pistol.<sup id='cite_ref-35' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-35'>[35]</a></sup>","December 27, 1890","Saturday","December","1890","Virginia"
"1891-03-30","Liberty, Mississippi","0","14","During a school exhibition and concert given at the Parson Hill schoolhouse, where the large audience was composed of blacks and whites: teachers, pupils, and spectators, an unknown gunman fired a double barreled shotgun into the assemblage. Fourteen people were wounded, some seriously.<sup id='cite_ref-36' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-36'>[36]</a></sup>","March 30, 1891","Monday","March","1891","Mississippi"
"1891-04-09","Newburgh, New York","0","","70-year-old James Foster, fired a <a href='https://en.wikipedia.org/wiki/Shotgun' title='Shotgun'>shotgun</a> at a group of students in the playground of St. Mary's Parochial School, causing minor injuries to several of the students.<sup id='cite_ref-37' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-37'>[37]</a></sup>","April 9, 1891","Thursday","April","1891","New York"
"1892-06-29","Van Wert, Ohio","1","0","Convoy teacher, B.L. Richie, was killed by 14-year-old student, Shirley Longsworth, son of Dr. Longsworth.<sup id='cite_ref-38' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-38'>[38]</a></sup>","June 29, 1892","Wednesday","June","1892","Ohio"
"1892-10-10","Lawrence, Kansas","0","2","At the <a href='https://en.wikipedia.org/wiki/University_of_Kansas' title='University of Kansas'>University of Kansas</a>, two students, E. Higgins and Jack Craycroft, were injured as they were walking back to their dorm rooms after football practice. Law student Fred Bassett fired a <a href='https://en.wikipedia.org/wiki/Double_barreled_shotgun' class='mw-redirect' title='Double barreled shotgun'>double barreled shotgun</a> as they passed his home, he said he had warned them not to trespass on his farm, which students frequently did.<sup id='cite_ref-39' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-39'>[39]</a></sup>","October 10, 1892","Monday","October","1892","Kansas"
"1893-03-26","Plain Dealing, Louisiana","4","1","During an evening school dance at Plain Dealing High School, a fight broke out. When the smoke cleared, two students were killed, two more were fatally wounded, and the high school's Professor Johnson was wounded in the arm.<sup id='cite_ref-40' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-40'>[40]</a></sup>","March 26, 1893","Sunday","March","1893","Louisiana"
"1894-10-17","Parkersburg, West Virginia","2","0","When school was let out, 15-year-old Willis Gardner, was killed and his 8-year-old brother fatally stabbed in a quarrel among a group of boys.<sup id='cite_ref-quarrel_41-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-quarrel-41'>[41]</a></sup>","October 17, 1894","Wednesday","October","1894","West Virginia"
"1898-12-13","Charleston, West Virginia","6","","During the school exhibition, a group of young men tried to break up a student performance. When the teacher Fisher tried to throw them out, they turned on him. Audience members joined the fray. The fight resulted in deaths: Harry Flasher was shot in the heart and instantly killed, Henry Carney was fatally shot in the back, Ralph Jones and two others were also fatally shot, and George Gibson was shot in the hand; Haz Harding had his skull crushed and several others received minor wounds.<sup id='cite_ref-42' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-42'>[42]</a></sup>","December 13, 1898","Tuesday","December","1898","West Virginia"
"1903-02-24","Inman, South Carolina","1","0","Edward Foster, a 17-year-old student at Inman High School, was fatally wounded by his teacher Reuben Pitts after jerking a rod from Pitts' hands to avoid punishment. According to the teacher, Foster struck the pistol Pitts had drawn, and caused it to fire. Pitts was acquitted of murder on grounds of self-defense.<sup id='cite_ref-43' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-43'>[43]</a></sup>","February 24, 1903","Tuesday","February","1903","South Carolina"
"1903-07-21","Jackson, Kentucky","2","1","At the Cave Run School, James Barrett and Mack Howard argued over a card game and fought a duel with pistols, they killed each other. 12-year-old student, James Vires, was shot in the abdomen while sitting at his desk during the gunfight.<sup id='cite_ref-44' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-44'>[44]</a></sup>","July 21, 1903","Tuesday","July","1903","Kentucky"
"1904-04-06","Chicago, Illinois","1","0","Two students had been fighting for most of a year over a girl. In their last fight, Henry Schaze threw 16-year-old Paul Jelick to the ground, drew a revolver, and killed his rival.<sup id='cite_ref-45' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-45'>[45]</a></sup>","April 6, 1904","Wednesday","April","1904","Illinois"
"1904-11-16","Riverside, California","2","1","At the Indian School, a gun fight broke out between pupils. Charles Colby was shot in the head with a pistol, then returned fire, killing Tom Bucanoros instantly, and fatally wounding Fred Smith.<sup id='cite_ref-46' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-46'>[46]</a></sup>","November 16, 1904","Wednesday","November","1904","California"
"1904-12-16","Magee, Mississippi","1","1","Parent, E.E. Mangum, was shot through the head and killed by the principal of the high school, Professor J.E. Woodward. Mangum had argued with Woodward, who had given Mangum's 15-year-old son a severe whipping. Mangum lost his temper, shooting Woodward through the wrist.<sup id='cite_ref-47' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-47'>[47]</a></sup>","December 16, 1904","Friday","December","1904","Mississippi"
"1905-02-09","Colusa, California","0","1","At the request of his childhood friend, Pearl Cruse, 17-year-old Elmer Hildreth, who did not attend her school, went to a meeting between Miss Cruse and her teacher. It ended in 'a hand to hand' encounter between teacher and pupil. When Ingrim went after Hildreth with an axe, Hildreth shot him in the stomach. Hildreth was arrested and bail was posted by five prominent men in the community. Hildreth was found to have acted in self-defense and no charges were filed. Ingrim survived.<sup id='cite_ref-48' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-48'>[48]</a></sup>","February 9, 1905","Thursday","February","1905","California"
"1905-10-05","Hickman, Kentucky","0","0","While returning from church, Professor Emmet W. Roach, was ambushed by an assassin.<sup id='cite_ref-49' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-49'>[49]</a></sup>","October 5, 1905","Thursday","October","1905","Kentucky"
"1907-03-23","Carmi, Illinois","1","0","Parent George Nicholson killed John Kurd at a schoolhouse during a school rehearsal. Kurd had made a disparaging remark about Nicholson's daughter during her recital.<sup id='cite_ref-50' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-50'>[50]</a></sup>","March 23, 1907","Saturday","March","1907","Illinois"
"1907-12-20","Chico, California","1","0","9-year-old Arthur Roberts, was shot in the head and killed outside his school during a military drill by school children of the Dayton school district. Armed with old guns believed to be empty, the children had pulled their triggers. The Roberts boy threw his hands to his head and cried, 'I'm shot.'<sup id='cite_ref-51' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-51'>[51]</a></sup>","December 20, 1907","Friday","December","1907","California"
"1908-01-10","Council Bluffs, Iowa","0","0","At around 6&#160;a.m., as George O Mortensen, 35-year-old janitor of the Washington street school building, was unlocking the outer door of the school, someone discharged a shotgun from only a few feet. The shot riddled the door within a foot of his head.<sup id='cite_ref-52' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-52'>[52]</a></sup>","January 10, 1908","Friday","January","1908","Iowa"
"1908-03-11","Boston, Massachusetts","2","0","Suffering from melancholia, due to overwork, thirty-nine year-old Miss Sarah Chamberlain Weed, killed thirty-four year-old Elizabeth Bailey Hardee, then shot herself, at the Laurens School, a fashionable boarding school.<sup id='cite_ref-53' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-53'>[53]</a></sup>","March 11, 1908","Wednesday","March","1908","Massachusetts"
"1909-03-19","Mount Vernon, Illinois","0","1","During a school performance of 'The Grand Central', John Moake, portraying the villain, was shot in the forehead and dangerously wounded by the hero, Roy Slater. The cartridge was thought to have been blank.<sup id='cite_ref-54' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-54'>[54]</a></sup>","March 19, 1909","Friday","March","1909","Illinois"
"1909-06-10","Trinidad, Colorado","1","0","Walter Harris, 11-year-old student, accidentally shot his teacher, B.C. Briggs in the head while on a school field trip, killing him.<sup id='cite_ref-55' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-55'>[55]</a></sup>","June 10, 1909","Thursday","June","1909","Colorado"
"1909-08-18","Bakersfield, California","0","0","After hunting doves, a group of six young men deliberately shot out the glass at the Fruitvale School. They also shot at the nearby residence of A.J. Hunter, narrowly missing several children in the rear yard.<sup id='cite_ref-56' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-56'>[56]</a></sup>","August 18, 1909","Wednesday","August","1909","California"
"1909-09-11","Gravette, Arkansas","1","0","John Butram, a student at the Bear Hollow School, told his fellow students that school was cancelled. The teacher A.T. Kelly insisted that the day's lesson was not over. When Butram drew a knife on his teacher, Kelly drew his gun and shot him.<sup id='cite_ref-57' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-57'>[57]</a></sup>","September 11, 1909","Saturday","September","1909","Arkansas"
"1910-01-12","New York City, New York","2","0","'A black bearded maniac drew an automatic pistol' and fired five shots into a crowd of boys at the Harlem School, who were taunting him. 6-year-old Robert Lomas, was hit and died instantly, 6-year-old Arthur Shively, was critically wounded.<sup id='cite_ref-58' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-58'>[58]</a></sup>","January 12, 1910","Wednesday","January","1910","New York"
"1910-03-10","Ione, California","0","0","At the reform school, known as <a href='https://en.wikipedia.org/wiki/Preston_School_of_Industry' title='Preston School of Industry'>Preston School of Industry</a>, students Albert Brown and Eugene Griffin tried to escape, stealing a revolver from the school's bakery shop. They shot at Captain William H. White when he pursued them. No one was hurt, but the boys were transferred to the penitentiary, which held adults.<sup id='cite_ref-59' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-59'>[59]</a></sup>","March 10, 1910","Thursday","March","1910","California"
"1910-08-16","Lexington, Kentucky","1","","A general fight broke out during school board elections. Lewis Napier was killed, and several other persons were hurt. Several were arrested.<sup id='cite_ref-60' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-60'>[60]</a></sup>","August 16, 1910","Tuesday","August","1910","Kentucky"
"1911-04-27","Manhattan, Kansas","1","0","During a school play rehearsal, a boy accidentally loaded his revolver. An 18-year-old girl who was to use it in the play said she was afraid to handle it. The teacher said there was no need for her fear and pointed it at the girl, Pearl Reedy, squeezing the trigger. She was fatally wounded.<sup id='cite_ref-61' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-61'>[61]</a></sup>","April 27, 1911","Thursday","April","1911","Kansas"
"1912-01-31","San Francisco, California","1","0","During a stone throwing confrontation near the Oriental School on Clay Street, a group of white boys found themselves trapped between two groups of Chinese boys. In an attempt to escape, Jose Aguilar, fired a <a href='https://en.wikipedia.org/wiki/BB_gun' title='BB gun'>BB shot</a> air rifle twice hoping to frighten the Chinese. However, 10-year-old Wong She, had a gun and fired back. One bullet passed through Aguilar's coat sleeve as he ran and fatally struck 14-year-old James Kane in the school's rear yard.<sup id='cite_ref-62' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-62'>[62]</a></sup><sup id='cite_ref-63' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-63'>[63]</a></sup>","January 31, 1912","Wednesday","January","1912","California"
"1912-02-16","Lagrange, New York","1","0","14-year-old May McQuade, was killed by classmate Raymond B. Carroll. Carroll alleged the shooting was accidental and he did not think the gun was loaded.<sup id='cite_ref-64' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-64'>[64]</a></sup>","February 16, 1912","Friday","February","1912","New York"
"1914-11-19","Sayre, Pennsylvania","1","0","While walking to school, 14-year-old Charles Listman, killed 15-year-old Andrew Milton, over the affections of classmate, 13-year-old Minnie London.<sup id='cite_ref-65' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-65'>[65]</a></sup>","November 19, 1914","Thursday","November","1914","Pennsylvania"
"1915-01-13","Vancouver, Washington","0","1","During a parent-teachers' meeting, 15-year-old student, Murlan Decker, was accidentally shot by his younger brother, Luther.<sup id='cite_ref-66' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-66'>[66]</a></sup>","January 13, 1915","Wednesday","January","1915","Washington"
